id,reading_level,chapter_count,paragraph_count
37,1,11,20
1,1,7,17
36,1,11,29
59,2,16,29
25,3,19,54
29,1,11,13
63,1,15,13
2,1,7,11
15,3,23,47
6,1,7,7
53,2,15,62
66,2,15,44
56,2,11,37
4,1,12,25
42,1,15,37
61,2,17,29
50,2,18,48
32,1,10,25
11,1,12,31
26,2,7,11
51,2,19,48
7,1,11,13
64,2,4,25
55,2,18,52
34,1,11,19
47,1,16,18
24,3,14,20
27,2,11,23
46,1,5,5
65,2,12,30
60,2,11,42
17,3,9,10
19,3,15,39
39,1,13,15
5,1,11,21
28,1,10,17
20,3,13,22
30,1,13,28
22,4,23,75
57,2,16,22
33,1,14,13
8,1,11,12
9,1,11,11
16,1,11,13
41,4,10,30
10,1,6,18
58,2,11,16
49,1,9,23
52,2,20,41
18,3,17,38
40,1,4,16
14,2,14,40
23,4,16,55
38,1,14,20
54,2,11,28
21,3,12,26
31,1,4,4
48,1,8,15
