id,chapter_count,paragraph_count,word_count,reading_level
87,11,17,123,1
50,18,48,811,2
26,7,11,393,2
8,11,12,150,1
71,7,22,207,1
56,11,37,398,2
90,9,12,88,1
63,15,13,101,1
83,8,28,116,1
89,11,17,62,1
92,11,28,244,2
5,11,21,116,1
72,6,23,207,1
85,11,12,78,1
31,4,4,20,1
22,23,75,2057,4
58,11,16,131,2
59,16,29,129,2
84,11,12,78,1
69,20,9,37,1
64,4,25,85,2
6,7,7,78,1
19,15,39,1342,3
21,12,26,965,3
48,8,15,176,1
46,5,5,81,1
7,11,13,144,1
91,13,21,222,2
78,9,31,102,1
1,7,17,167,1
39,13,15,177,1
32,10,25,209,1
15,23,47,1291,3
40,4,16,89,1
27,11,23,211,2
60,11,42,427,2
14,14,40,488,2
36,11,29,138,1
70,9,15,61,1
66,15,44,442,2
81,11,27,159,1
2,7,11,123,1
37,11,20,26,1
86,11,15,214,2
18,17,38,564,3
95,23,133,638,4
23,16,55,1507,4
33,14,13,23,1
57,16,22,133,2
97,8,12,404,2
98,7,28,144,2
79,7,10,97,1
24,14,20,731,3
94,19,20,256,3
82,11,27,159,1
29,11,13,110,1
42,15,37,264,1
54,11,28,211,2
47,16,18,117,1
75,15,15,124,1
68,22,35,1978,3
16,11,13,120,1
80,11,27,159,1
41,10,30,555,4
25,19,54,1596,3
93,8,28,116,1
11,12,31,194,1
96,10,41,369,3
77,9,31,102,1
74,11,21,209,1
55,18,52,461,2
52,20,41,559,2
